,abst,auth,sect_abs,title
10,The main goal of the study was to explore the ERP differences during reading of emotional words related to the self (feelings of one’s internal state). We speculated that the adjectives described as congruent with the participants’ mood will be processed differently than the incongruent ones. The differences should be visible even at the early stage of word processing (pre-lexical stage) as well as at the later stages (semantic analysis). 60 adjectives were presented separately for 1 second each. They were shown during the two consecutive sessions with simultaneous mood induction by 20 highly positive or 20 highly negative pictures from the International Affective Picture System database. After each adjective presentation participants had to evaluate on a 4 point scale to what extent the word described their current mood. The results showed that the adjectives congruent with the participants’ actual mood are differently processed by the brain as opposed to the incongruent ones. This was evidenced as early as 150ms (N170 component) after the stimulus offset with higher negative wave evoked to the  Cognitive Neuroscience Society — 2012 Annual Meeting  congruent words. Later components (P3 and LPP - Late Positive Potential) were significantly more positive when evoked by the congruent adjectives. There were no noticeable effects of arousal and valence ratings of the words. The self-reference seems to be the most important factor in the processing of emotional adjectives. Since its impact is evidenced even at the early stages of word analysis it is suggested that the word processing involves synchronous lexical and semantic analyses. ," Szczepan  Grzybowski1, Miroslaw Wyczesany1; 1Psychophysiology Lab, Jagiellonian University, Krakow, Poland",A11, ERP STUDY OF SELF-REFERENCED MOOD ADJECTIVES
11,"Memory retrieval of guilty self-actions is responsible for promoting prosocial behavior yet provoking some psychopathological manifestations such as anthropophobia and depression. In this functional magnetic resonance imaging study, we used a two-by-two factorial design including emotion (emotional, non-emotional) and agent (selfaction, other-action). We identified the neural representation of guilt in episodic memory by dissociating it from the neural representation of self-action in episodic memory. In the encoding task before the fMRI task, subjects experienced four conditions: stabbing a pushpin through the eye of a face picture (emotional self-action condition: ES); observing a picture with a pushpin stabbed through the eye (emotional other-action condition: EO); stabbing a pushpin through the margin (non-emotional self-action condition: NS); observing a face picture with a pushpin stabbed through the margin (non-emotional other-action condition: NO). In the fMRI task, subjects made a recognition judgment for the faces. Activation specific to guilty memory retrieval was observed in the right insular cortex as a result of the interaction of the emotion and agent [(ESNS)-(EO-NO)]. Self-action memory retrieval activated the right putamen, posterior superior temporal sulcus (pSTS), subgenual cingulated cortex (SCC), and rostral anteriror cingulated cortex (rostral ACC) in the results from the main effect of the agent [(ES-EO)+(NS-NO)]. We suggest that the representation of guilt in episodic memory is associated with activation in the right insular cortex and that brain regions previously indicated to be the neural representation of guilt, such as the pSTS, the SCC, and the rostral ACC, might actually be self-action memory retrieval processing areas. ","to Miyauchi1,3, Motoaki Sugiura3, Yukihito Yomogida2,  Yoritaka Akimoto3, Ryuta Kawashima3,4; 1Department of Functional Brain Imaging, Tohoku University Graduate School of Medicine, Sendai, Japan., 2Tamagawa University Brain Science Institute, Tokyo, Japan., 3Department of Functional Brain Imaging, IDAC, Tohoku University, Sendai, Japan., 4Smart Ageing International Research Center, IDAC, Tohoku University, Sendai, Japan.",A12," NEURAL REPRESENTATION OF GUILT IN EPISODIC MEMORY: AN FMRI STUDY. IDAC, IDAC,"
12,"Information encoded in relation to self through temporary ownership benefits from an elevated memorial status. Previously we have shown that cognitive processes associated with the allocation of attention are engaged at the moment that ownership is established, and that there is a narrowing in spatial attention to the object (P300 effect to the object and reduced P1 to peripheral grating stimuli following ownership; Turk et al., 2011). In the current study we sought to determine whether these effects might also impact on perceptual processing of owned items. We recorded electrophysiological responses to the initial presentation of temporary ownership cues (self/ other) and to the later presentation of objects assigned to each condition. As with previous research, self-ownership cues elicited differences in event-related brain potentials (ERPs) associated with attentional biases (P300 effect). A smaller but significant P300 effect was also observed to self-owned objects. These findings demonstrate the importance of attentional resources in the encoding of self-item associations through temporary ownership. The replication of the P300 effects and the absences of electrophysiologically measureable differences in early perceptual pro-  39  Poster Session A — Saturday, March 31, 5:30 – 7:30 pm, Exhibit Hall cessing will be discussed in relation to neural models of self and object ownership. ","ilip Collard1, David J. Turk1; 1  Psychology, University of Aberdeen",A13, OWNERSHIP AND ATTENTION: P300 MODULATION TO SELF-OWNED ITEMS AND OWNERSHIP CUES J.
13,"Self-referential processing has been shown to  recruit the default mode network (DMN), so-called due to its activation during the absence of effortful cognition (Northoff et al., 2006). To further specify the roles of the DMN and other brain regions in self-related processing, we considered two forms of self: the minimal self (the subject of momentary experience, independent of conceptual knowledge about oneself), and the extended self (the aggregate of self-related knowledge, providing a stable identity through time; Damasio, 1999; Gallagher, 2000). Using fMRI, we distinguished these two forms of self in the human brain, and explored the possibility that representations of other people and objects obey this distinction as well. In each trial, participants received the name of an individual (the self, a non-self human, or a nonhuman object) followed by a property, and then rated how well the property applied to the individual. Four principal findings emerged: 1) A conjunction of the three individual conditions revealed an “identity network” (IDN) that excluded the DMN. We propose that the IDN instantiates minimal representations of individuals in general, not just of the self. 2) Regions immediately adjacent to the IDN differentiated between individuals along a gradient of self-relatedness. 3) A conjunction of the property conditions revealed activations of the IDN and the DMN, with the latter only occurring for human individuals, perhaps binding representations of people with their traits. 4) Activation in the DMN correlated strongly with self-relatedness, implying a graded distinction between self, other, and object in this neural circuit. "," Drucker1, Christine D. Wilson-  Mendenhall2, Lisa F. Barrett2, Lawrence W. Barsalou1; 1Emory University, 2 Northeastern University",A14, NEURAL REPRESENTATIONS OF SELF AND OTHER: BEYOND THE DEFAULT MODE NETWORK H. D. F. W.
14,"Studies (Alexander et. al 2005; Alexander et. al 2011) have indi-  cated that P300 amplitude is higher during a self awareness task in which the subject assesses whether or not she is surprised by the occurrence of a target tone in sequence of tones presented. It has been suggested that this increase in P300 amplitude during a self awareness task represents an increase in utilization of cognitive resources compared to other cognitive tasks. To examine if this finding is robust to varying personal factors we utilized a population of females who differed in sexual orientation (heterosexual, homosexual). The P300 event-related potential (ERP) was recorded in 30 (15 heterosexual 15 homosexual) female subjects during routine auditory sensory discrimination task, a matched cognitive, and a matched self-awareness task. Similar to previous studies the P300 amplitude was found to be higher during the self-awareness task compared to the standard discrimination task across all electrode locations. Homosexual females were found to have consistently higher P300 amplitude compared to heterosexual females across all three tasks. No significant interactions were found in analysis between task and sexual orientation. These findings indicate that the self-awareness task is robust to the variation of sexual orientation between subjects and that homosexual females have higher P300 amplitude across tasks. "," Joel  Alexander1, Ronald Alexander2; 1Western Oregon University, 2Wartburg College",A15, P300 AMPLITUDE DIFFERENCES BETWEEN HETEROSEXUAL AND HOMOSEXUAL FEMALES DURING A SELF-AWARENESS TASK
15,"The current study represents a first attempt to look at the neural basis of acting. Every person plays multiple roles in daily life – for example “friend”, “student” or “employee” – where these roles are all facets of the “self” or first-person (1P) perspective. Compared to such everyday role-playing, actors are required to portray other characters and to adopt the thoughts and emotions of these people. Consequently, actors must think and feel not as themselves but as the characters they are portraying, thereby assuming a “fictional first-person” (fic-  40  1P) perspective. Utilizing functional magnetic resonance imaging, we sought to identify brain regions preferentially activated when actors adopt a fic-1P perspective during role playing (pretense). In the scanner, trained actors responded to a series of conditional questions from either their own 1P perspective or from that of Romeo (male subjects) or Juliet (female subjects) from Shakespeare’s drama. Compared with the 1P condition, fic-1P elicited changes in the cortical midline network, including the ventromedial prefrontal cortex, precuneus, and posterior cingulate cortex. Thus, role playing during acting seems to be a departure from standard self-processing. This study represents a first step towards elucidating the neural basis of acting. "," Lauren 1  Kutcher1,  Steven  Brown1;  McMaster University",A16, THE NEUROSCIENCE OF ACTING
16,"One of the most Alpaugh2,3,  Brownoff3,  Singhal2,3; 1Department  robust findings in social psychology is the self-positivity bias, a tendency of individuals to attribute more positive than negative traits to themselves. Previous fMRI and ERP studies have investigated this phenomenon by contrasting brain activity associated with favourable selfjudgements (negative-not-self-relevant NNSR, positive-self-relevant PSR) versus non-favourable self-judgements (negative-self-relevant NSR, positive-not-self-relevant PNSR). However, this contrast consists of vastly different numbers of items (non-favourable< favourable). Furthermore, although both NSR and PNSR can both be considered unfavourable, endorsing negative traits as self-characteristic likely involves quite distinct mechanisms (e.g., avoid-approach tendencies) compared to rejecting positive traits. In our EEG/ERP experiment, we set out to test if previously reported (Watkins, et al., 2007) larger fronto-central N400 ERPs to one or both types of unfavourable self-related information could be replicated by randomly selecting identical trial numbers from each of four conditions (NSR, PNSR, NNSR, PSR). High density EEG/ERP data were recorded while 28 participants judged positive and negative trait adjectives. We found a robust self-positivity bias behaviourally. In EEG/ ERP, the N400 was larger only for negative self-relevant (NSR) words, compared to all three other conditions. This result was most pronounced over temporo-parietal electrodes (T7, TP9). The lateral temporal rather than fronto-central topography of the larger N400 in NSR judgements more strongly resembles semantic than affective incongruency detection in our task. Selectively finding larger N400 ERPs to NSR, but not PNSR, implies a functional difference between these two types of unfavourable self-judgements. "," Esther  Fujiwara1,2, Nick Anthony of Melanie Psychiatry, University of Alberta, 2Centre for Neuroscience, University of Alberta, 3Department of Psychology, University of Alberta",A17, ERP CORRELATES OF THE SELF-POSITIVITY BIAS
17,"Though several brain areas have been shown to be involved in the neural representation of self and others, the medial prefrontal cortex (MPFC) is the region most consistently implicated in these processes. In particular, there is evidence that ventral MPFC is more often implicated in coding of self-referential thought, whereas dorsal MPFC seems to code for the representation of others. Self-esteem is an evaluative attitude based on the extent to which a person views themself as favorable and leads them respond to their social world. By definition, individuals with high selfesteem tend to think of themselves with elevated regard, but little work has been to investigate the underlying neural networks that give rise to these attitudes. In the current study, we used diffusion tensor imaging and probabilistic tractography to investigate whether individual differences in the structural connectivity of MPCF and nucleus accumbens (NAcc; a putative reward area) would be related to a trait-level measure of self-esteem. Because of the self-relevant nature of self-esteem, we hypothesized self-esteem would be related to greater connectivity of NAcc to ventral MPFC, but not dorsal MPFC. In a sample of 75 normal subjects, we found a positive relationship between left-NAcc /ventralMPFC connectivity and self-esteem. As hypothesized, there were no sig-  Cognitive Neuroscience Society — 2012 Annual Meeting  Saturday, March 31, 5:30 – 7:30 pm, Exhibit Hall — Poster Session A nificant results for the dorsal portion of MPFC. These results provide evidence that connectivity of brain regions involved in processing selfrelevant cognition to reward-related areas contribute to individual differences in trait self-esteem.  in processing both self and non-self biographic information. In addition, its involvement in processing non-self biographic information seems to depend on features of the subjects’ personality and on aspects of the relationship between the subjects and their acquaintances. ",".  Chavez1, Katherine E. Powers1, Todd F. Heatherton1; 1Dartmouth College",A18, STRUCTURAL CONNECTIVITY OF MEDIAL PREFRONTAL CORTEX AND NUCLEUS ACCUMBENS PREDICTS TRAIT SELF-ESTEEM. S. E. F.
18,"Self-knowledge is ipso facto the essential piece for the phenomenological existence of the individual. Self-knowledge is grounded on a basic embodied sense of self that, in turn, relies on “self-contingency” detection, which is the ability to match sensory feedback received during a movement with internal motor and sensory representations. In order to understand the cognitive and neural mechanisms that are essential to self-knowledge, we seek to identify the cognitive and neural mechanism involved in selfcontingency detection in 5-month-old babies using functional Nearinfrared spectroscopy (NIRS). We measured babies’ neural activations in a contingent condition, in which babies watched an online video of their own legs and in a non-contingent condition in which they watched the video of another baby’s legs. We further presented a sound at a volume that was proportional to the quantity of legs’ movement at the screen and measured babies’ legs movement. Moreover, we measured baby’s looking preferences when these two videos were presented at the same time. Our behavioral results replicate the previous findings that infants can discriminate between the contingent and non-contingent situation. They spent significantly more time looking to the non-contingent videos. Preliminary analyses suggest that self-contingency detection is not an automatic process: it involves a learning mechanism and babies’ emotional expressions correlate with self-contingency detection. The neural results indicate that somatosensory cortices are recruited both when babies watched their own legs and another baby’s legs. Moreover, as would be expected from the adult neuroimaging literature, the parietal cortex is specifically involved in self-contingency detection. ","ONSISTENT WITH EVOLUTIONARY UNDERSTANDING OF THE SELF  Emmanuel Dupoux1,3; 1Laboratoire de Sciences Cognitives et Psycholinguistiques, Département d'Etudes Cognitives, ENS, Paris, France, 2Virginia Tech Carilion Research Institute, Human Neuroimaging Laboratory, Virginia Tech, 3Inserm U955 E01, Département d'Etudes Cognitives, ENS, Paris, France, 4Both authors contributed equally to this work.",A19," NEURAL BASIS OF SELF-CONTINGENCY DETECTION IN 5-MONTH-OLD BABIES A21 FMRI STUDY OF SELF VS. OTHERS’ ATTRIBUTIONS OF TRAITS CONSISTENT WITH EVOLUTIONARY UNDERSTANDING OF THE SELF ENS, U955 E01, ENS,"
19,"Self-knowledge is ipso facto the essential piece for the phenomenological existence of the individual. Self-knowledge is grounded on a basic embodied sense of self that, in turn, relies on “self-contingency” detection, which is the ability to match sensory feedback received during a movement with internal motor and sensory representations. In order to understand the cognitive and neural mechanisms that are essential to self-knowledge, we seek to identify the cognitive and neural mechanism involved in selfcontingency detection in 5-month-old babies using functional Nearinfrared spectroscopy (NIRS). We measured babies’ neural activations in a contingent condition, in which babies watched an online video of their own legs and in a non-contingent condition in which they watched the video of another baby’s legs. We further presented a sound at a volume that was proportional to the quantity of legs’ movement at the screen and measured babies’ legs movement. Moreover, we measured baby’s looking preferences when these two videos were presented at the same time. Our behavioral results replicate the previous findings that infants can discriminate between the contingent and non-contingent situation. They spent significantly more time looking to the non-contingent videos. Preliminary analyses suggest that self-contingency detection is not an automatic process: it involves a learning mechanism and babies’ emotional expressions correlate with self-contingency detection. The neural results indicate that somatosensory cortices are recruited both when babies watched their own legs and another baby’s legs. Moreover, as would be expected from the adult neuroimaging literature, the parietal cortex is specifically involved in self-contingency detection.  A20 INSULA CORTEX ACTIVITY DURING TWO SELF-RELATED CONDITIONS  Helder F. Araujo1,2,3, Jonas Kaplan1, Hanna Damasio1, Antonio Damasio; 1Brain and Creativity Institute, University of Southern California, 2Neuroscience Graduate Program, University of Southern California, 3Graduate Program in Areas Basic and Applied Biology, University of Oporto, Portugal — It has been established that insular cortex maps represent aspects of the body and participate in bodily and emotional feelings processes. On the assumption that the self is grounded in body representations, we hypothesize that the insula is involved in self-related processes. Using fMRI, we investigated insular involvement in two domains of autobiographical self: personal traits and biographical facts. Nineteen participants answered questions about (a) their own traits; (b) their factual biographies; (c) the traits of an acquaintance; and (d) the factual biography of an acquaintance (4 conditions). The subjects completed three functional scans. Each scan included three 24-second blocks of each condition and blocks of one-back-task as an active baseline. After scanning, participants answered additional questionnaires. Image analysis was performed with FSL. Insula activity during “self” conditions was not different from that observed during “other” conditions, but was greater during “traits” than during “facts”. The difference between “self” and “other” in insula activity correlated negatively with time of acquaintanceship (T) and with perspective taking scores; the difference between “traits” and “facts” in insula activity correlated positively with bodyawareness scores; and insula activity related to traits of others correlated negatively with subjects’ ratings on how well those traits described their acquaintances, but positively with T. The insula appears to be involved  Cognitive Neuroscience Society — 2012 Annual Meeting  Gonzalo Munevar1, Matthew Cole1, Yongquan Ye2, Jie Yang2, Mark Haacke2; 1 Psychology Program, Lawrence Technological University, 2MR Research Facility, Wayne State University — Our fMRI study on self-attribution aims  to test an evolutionary explanation concerning the neural substrates of the self. From an evolutionary perspective a complex brain should: (1) coordinate new sensory information in light of the organisms’ internal states and in the context of its personal history and genetic inheritance— so it can use previous experience and learn; (2) it would thus constitute a distributed self. We compared three general conditions of self vs. other trait attributions: Self, Best Friend, and Bill Gates. Each of these conditions were comprised of two additional conditions: Personality Traits and Non-Personality Traits. Thirteen participants (6 females, age: 18-57) rated a series of 90 personality and non-personality trait adjectives as to whether they applied to themselves or others, in a block-design paradigm. Data were acquired using a 3 Tesla Siemens Verio scanner at Wayne State University, and analyzed using SPM8. We hypothesized that in comparing Self vs. other conditions we should find differential activation suggestive of (a) preparedness for action/motion and reward (basal ganglia), (b) overlap of Self-Best Friend condition with structures that permit allometric (non-geocentric) orientation and perspective (basic to an animal), (c) and similarity of contrast between Self- Bill Gates and Best Friend-Bill Gates, with greater activation in the former, which would account for the finding by others of involvement of MPFC in attributions to self and close others. We found significant activation as follows: (a) substantia nigra and the caudate nucleus (right), (b) rBA31, and (c) lBA24.  EXECUTIVE PROCESSES: Goal maintenance & switching","; 1Laboratoire de Sciences Cognitives et Psycholinguistiques, Département d'Etudes Cognitives, ENS, Paris, France, 2Virginia Tech Carilion Research Institute, Human Neuroimaging Laboratory, Virginia Tech, 3Inserm U955 E01, Département d'Etudes Cognitives, ENS, Paris, France, 4Both authors contributed equally to this work.",A21," FMRI STUDY OF SELF VS. OTHERS’ ATTRIBUTIONS OF TRAITS CONSISTENT WITH EVOLUTIONARY UNDERSTANDING OF THE SELF ENS, U955 E01, ENS,"
20,"Previous studies have reported verbal fluency impairment in obsessive-compulsive disorder (OCD), but no study has evaluated the cognitive processes underlying verbal fluency in OCD. In the present study, we sought to test the hypothesis that verbal fluency impairment in OCD resulted from switching problems rather than lack of verbal ability per se. In addition, we examined the relationship between the symptom dimensions of OCD and verbal fluency to better understand OCD heterogeneity. The study included 85 patients with OCD (45 drug-naïve and 40 drug-free) and 71 healthy controls matched for gender, age, education, and intelligence. The Controlled Oral Word Association (COWA) test was administered to assess verbal fluency and switching performance. Patients with OCD generated a smaller number of words and displayed fewer switches than did healthy control subjects. Furthermore, switching was found to mediate impaired verbal fluency in OCD. Impairment in switching and verbal fluency was related to the symmetry dimension in patients with OCD. Our findings suggest that verbal fluency impairment in OCD is mediated by a switching deficit that may originate from abnormal processing in the frontalstriatal circuitry involving the orbitofrontal cortex. Moreover, impaired verbal fluency in OCD may be modulated by distinct obsessive-compulsive dimensions.  41  Poster Session A — Saturday, March 31, 5:30 – 7:30 pm, Exhibit Hall "," Ye Seul Shin1, Na Young Shin1,  Joon Hwan Jang2, Geumsook Shim2, Hye Yoon Park2, Min-Sup Shin2, Jun Soo Kwon1,2; 1Seoul National University, Seoul, Korea, 2Seoul National University College of Medicine, Seoul, Korea",A22, SWITCHING STRATEGY UNDERLIES VERBAL FLUENCY IMPAIRMENT IN OBSESSIVE-COMPULSIVE DISORDER
21,"Although much of our behavior is driven by routines, when the situation changes we are able to overcome our routines in favor of a more appropriate response. This is referred to as cognitive control. One classical index of cognitive control is the Gratton effect (Gratton et al., 1992) which is identified as an interaction between congruency on the current trial and congruency on the previous trial. Recently, it was suggested that cognitive control is implemented by successful binding between stimuli and actions (Verguts & Notebaert, 2009). Several neuromodulators are suggested to enhance binding, among which dopamine (DA; Silvetti, Seurinck & Verguts, 2011) and norepinephrine (NE; Verguts & Notebaert, 2008, 2009). The current study investigated measures related to both neuromodulators in cognitive control. We asked 48 participants to complete a flanker task, during which their pupil dilation (related to NE; Nieuwenhuis & Jepma, 2011) and eye blinks (related to DA; Blin et al., 1990; Taylor et al., 1999) were recorded. We applied hierarchical linear modeling (HLM) and found a significant three-way interaction between congruency on the current trial, congruency on the previous trial, and blink on the previous trial, which indicates a larger Gratton effect after blink trials compared to no blink trials. This shows that cognitive control is enhanced following blink trials, suggesting a role for DA in binding and in cognitive control. ","rlies  E. van Bochove1, Lise Van der Haegen1, Wim Notebaert1, Tom Verguts1; 1Ghent University",A23, BLINK PREDICTS ENHANCED COGNITIVE CONTROL E.
22,"Fronto-Parietal regions have been shown to represent all kinds of task relevant events. However, in real behaviour task relevant events occur in the context of temporally extended, multistep, sequential task episodes. It is not known whether the representation of task elements is affected by their ordinal position in the sequence. In an FMRI experiment, we looked at the representational profile of two kinds of trial blocks. In the organised blocks, subjects executed a list of sequential tasks, such that the consecutive trials of such blocks were sequential steps towards a common goal. Further, this list of tasks was to be kept in working memory (WM) and its elements were sequentially discarded as the corresponding task was executed, causing a stepwise decrease in this load. In the unorganised blocks, component trials were independent of each other and there was no list to be executed; subjects were informed before every trial about the task to be done. However, in terms of the actual task done, the two blocks were identical. Activity in many frontoparietal regions and the information content of the elicited pattern of activity increased sequentially across the trials of the organised blocks, in spite of a concomitant decrease in WM load. Interestingly, this pattern of increasing activity was seen in regions from both cognitive control and default mode networks. Fronto-parietal results were weaker in the unorganised blocks. Our results thus show that the context of the task episode strongly determines the neural representation of the task elements. ","saf  farooqui1, John Duncan1; 1MRC-Cognition & Brain Sciences Unit, Cambridge, UK",A24, FRONTO-PARIETAL REPRESENTATION OF SEQUENTIAL TASKS UK
